"Year","Site","PCover"
2014,"East",40.9493004444444
2014,"West",29.2608386666667
2015,"East",45.041187962963
2015,"West",33.8856711111111
2016,"East",49.5555555555556
2016,"West",37.4814814814815
2017,"East",58.4568341051852
2017,"West",49.3314938277778
2018,"East",75.5519419639286
2018,"West",74.4221828696296
2019,"East",74.0510895066667
2019,"West",70.6349552474074
2020,"East",77.6706574077778
2020,"West",71.2366006955556
2021,"East",83.1917592605556
2021,"West",80.0169178255556
2022,"East",79.4411226777778
2022,"West",83.6558935333333
2023,"East",71.4716874961111
2023,"West",75.4743194461111
2024,"East",57.2561319466667
2024,"West",65.4977361111111
