"Year","Site","Avg.Height"
2014,"East",39.1865644444444
2014,"West",53.0391555555556
2015,"East",27.8793777777778
2015,"West",52.3480666666667
2016,"East",20.5225111111111
2016,"West",48.6550074074074
2017,"East",19.4532222222222
2017,"West",36.7806740740741
2018,"East",13.0739236111111
2018,"West",21.9345259259259
2019,"East",9.79856296296296
2019,"West",21.5501555555556
2020,"East",8.25068888888889
2020,"West",20.363
2021,"East",7.07527777777778
2021,"West",14.8687444444444
2022,"East",4.414
2022,"West",6.70277777777778
2023,"East",9.36641111111111
2023,"West",10.6958333333333
2024,"East",23.5005333333333
2024,"West",23.5735333333333
