Date Collected,Date Processed,Date Sorted,Tuffy ,Plot,Site,# of Mussels,Initials ,# of Bivalves
6/18/14,,6/14/17,1,1,1,31,EC,10
6/18/14,,6/15/17,2,2,1,74,EC,21
6/18/14,,,3,5,1,,EC,
6/18/14,,7/26/17,4,7,2,340,EC,26
6/18/14,,6/20/17,5,8,2,182,EC,24
6/18/14,,,6,10,2,,EC,
8/11/14,,6/22/17,7,1,1,332,EC,18
8/11/14,1/23/15,6/26/17,8,2,1,936,EC,261
8/11/14,1/23/15,6/28/17,9,5,1,872,EC,93
8/11/14,1/23/15,7/17/17,10,7,2,726,EC,106
8/11/14,,7/19/17,11,8,2,460,EC,25
8/11/14,,7/20/17,12,10,2,1754,EC,96
10/9/14,,7/24/17,13,1,1,238,EC,25
10/9/14,,,14,2,1,444,EC,14
10/9/14,,7/25/17,15,5,1,251,EC,24
10/9/14,,,16,7,2,227,EC,3
10/9/14,,,17,8,2,41,EC,22
10/9/14,,,18,10,2,22,EC,1
1/2/15,6/7/19,6/25/19,19,1,1,42,EC,
1/2/15,,,20,2,1,72,EC,20
1/2/15,6/7/19,6/27/19,21,5,1,122,EC,
1/2/15,6/7/19,6/29/19,22,7,2,65,EC,
1/2/15,6/7/19,7/1/19,23,8,2,47,EC,
1/2/15,6/21/19,7/1/19,24,9,2,39,EC,
5/20/19,7/8/19,7/17/19,1,7,2,4,EC,
5/20/19,7/8/19,7/19/19,2,,2,1,EC,
5/20/19,7/17/19,7/18/19,3,8,2,12,EC,
5/8/19,7/8/19,7/19/19,1,7,2,7,EC,
5/8/19,7/8/19,7/19/19,2,,2,1,EC,
5/8/19,7/8/19,7/23/19,3,8,2,7,EC,
6/6/19,7/17/19,7/24/19,1,7,2,21,EC,
6/6/19,7/17/19,7/22/19,3,8,2,19,EC,
6/6/19,7/17/19,7/23/19,4,1,1,26,EC,
6/20/19,7/30/19,8/13/19,2,,2,0,EC,
6/20/19,7/30/19,8/13/19,3,8,2,0,EC,
6/20/19,7/17/19,7/24/19,4,1,1,1,EC,
6/20/19,7/17/19,7/24/19,5,,1,6,EC,
6/20/19,7/30/19,8/13/19,6,5,1,0,EC,
7/3/19,8/14/19,9/28/19,1,7,2,3,EC,
7/3/19,8/14/19,9/16/19,3,8,2,2,EC,
7/3/19,7/30/19,8/13/19,4,1,1,6,EC,
7/3/19,8/28/19,9/16/19,5,,1,3,EC,
7/18/19,8/28/19,9/28/19,1,7,2,28,EC,
7/18/19,8/28/19,9/28/19,2,,2,40,EC,
7/18/19,8/28/19,10/2/19,3,8,2,14,EC,
7/18/19,8/28/19,10/11/19,4,1,1,34,EC,
7/18/19,8/28/19,10/29/19,5,,1,52,EC,
7/18/19,8/28/19,10/29/19,6,5,1,33,EC,
8/2/19,9/27/19,11/18/19,1,7,2,35,EC,
8/2/19,9/27/19,12/17/19,2,,2,6,"EC, DD",
8/2/19,9/27/19,12/17/19,3,8,2,19,"EC, DD",
8/2/19,9/27/19,2/4/20,4,1,1,23,"EC, DD",
8/2/19,9/27/19,2/5/20,5,,1,15,EC,
8/16/19,10/28/19,2/5/20,1,7,2,3,EC,
8/16/19,11/12/19,2/5/20,2,,2,3,EC,
8/16/19,11/12/19,2/5/20,3,8,2,12,EC,
8/16/19,10/28/19,2/8/20,4,1,1,12,DD,
8/16/19,11/12/19,2/5/20,5,,1,3,EC,
8/16/19,10/28/19,2/11/20,6,5,1,10,EC,
9/1/19,11/15/19,2/11/20,1,7,2,159,EC,
9/1/19,11/15/19,2/11/20,2,,2,291,EC,
9/1/19,11/12/19,2/14/20,3,8,2,199,"EC, PC",
9/1/19,11/12/19,3/2/20,4,1,1,563,PC,
11/24/19,1/8/20,3/9/20,1,7,2,9,"DD, PC",
